e e e e e e e e e e e e e e e e e e e e
e e g g g g e g g g g g g e g g g g e e
e g f f f f s f f f f f f s f f f f g e
e g f f f f s f f f f f f s f f f f g e
e g f f f f s f f f f f f s f f f f g e
e g f f f f s f f f f f f s f f f f g e
e g f f f f s f f f f f f s f f f f g e
e g f f f f s f f f f f f s f f f f g e
e g f f f f s f f f f f f s f f f f g e
e g f f f f s f f f f f f s f f f f g e
e e s s s s s s s s s s s s s s s s e e
e g f f f f s f f f f f f s f f f f g e
e g f f f f s f f f f f f s f f f f g e
e g f f f f s f f f f f f s f f f f g e
e g f f f f s f f f f f f s f f f f g e
e g f f f f s f f f f f f s f f f f g e
e g f f f f s f f f f f f s f f f f g e
e g f f f f s f f f f f f s f f f f g e
e g f f f f s f f f f f f s f f f f g e
e e g g g g e g g g g g g e g g g g e e
e e e e e e e e e e e e e e e e e e e e
